codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column.type,geocoded_column.coordinates,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,data_fi,
DI,Font-rubí,A,41.43292,1.62386,Point,c(1.62386, 41.43292),Masia Ca l'Amàlia - Montjuic,415,80850,Font-rubí,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,1998-07-16T00:00:00,719,32,NA
XL,el Prat de Llobregat,A,41.34045,2.08022,Point,c(2.08022, 41.34045),Camí de la Ribera s/n,8,81691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,2011-03-22T00:00:00,503,31,NA
CX,Vic - 1,A,41.93582,2.23857,Point,c(2.23857, 41.93582),Estadi d'atletisme,497.8,82981,Vic,24,Osona,8,Barcelona,1,XEMA,1,Desmantellada,1996-01-18T00:00:00,912,13,2003-01-01T00:00:00
X9,Caldes de Montbui,A,41.61265,2.16836,Point,c(2.16836, 41.61265),Torre Marimon,176,80333,Caldes de Montbui,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2007-03-08T00:00:00,758,22,NA
UN,Cassà de la Selva,A,41.87449,2.92694,Point,c(2.92694, 41.87449),Finca Mas Bassets,171,170448,Cassà de la Selva,20,Gironès,17,Girona,1,XEMA,2,Operativa,1993-03-08T00:00:00,644,14,NA
DA,Vila-rodona - Escola,A,41.30839,1.3622,Point,c(1.3622, 41.30839),Zona de les Escoles Noves,278,431704,Vila-rodona,1,Alt Camp,43,Tarragona,1,XEMA,1,Desmantellada,1998-01-23T00:00:00,506,30,2005-07-28T00:00:00
Y7,Port de Barcelona - Bocana Sud,A,41.31725,2.16537,Point,c(2.16537, 41.31725),Port de Barcelona,3,81691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,2015-04-08T00:00:00,503,31,NA
DM,Girona - Bombers,A,41.96012,2.80696,Point,c(2.80696, 41.96012),Parc de Bombers,90,170792,Girona,20,Gironès,17,Girona,1,XEMA,1,Desmantellada,2001-05-10T00:00:00,133,14,2010-09-15T00:00:00
YH,Pujalt,A,41.71734,1.42403,Point,c(1.42403, 41.71734),Observatori de Pujalt,747,81764,Pujalt,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,2018-04-06T00:00:00,902,24,NA
XO,Vic,A,41.93497,2.23987,Point,c(2.23987, 41.93497),Vic,499,82981,Vic,24,Osona,8,Barcelona,1,XEMA,2,Operativa,2011-12-22T00:00:00,912,13,NA
H1,Òdena,A,41.58642,1.65306,Point,c(1.65306, 41.58642),Aeròdrom d'Òdena,333,81430,Òdena,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,1999-05-31T00:00:00,742,24,NA
DF,la Bisbal d'Empordà,A,41.97751,3.03543,Point,c(3.03543, 41.97751),Estació depuradora,28.6,170221,La Bisbal d'Empordà,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,1998-03-25T00:00:00,28,16,NA
X6,Baldomar,A,41.92173,1.02901,Point,c(1.02901, 41.92173),Baldomar,366,250349,Artesa de Segre,23,Noguera,25,Lleida,1,XEMA,2,Operativa,2006-10-24T00:00:00,152,15,NA
UQ,Dosrius - PN Montnegre Corredor,A,41.61991,2.44532,Point,c(2.44532, 41.61991),Parc Natural del Corredor. Masia Can Bosc,460,80752,Dosrius,21,Maresme,8,Barcelona,1,XEMA,2,Operativa,1996-08-09T00:00:00,477,25,NA
CD,la Seu d'Urgell - Bellestar,A,42.37083,1.43277,Point,c(1.43277, 42.37083),Abocador comarcal,849,252038,La Seu d'Urgell,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,1996-01-16T00:00:00,252,5,NA
WQ,Montsec d'Ares (1.572 m),A,42.0513,0.72952,Point,c(0.72952, 42.0513),Serra de la Corona - Centre d'Observació de l'Univers,1572,251961,Sant Esteve de la Sarga,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,2003-06-17T00:00:00,101,15,NA
W5,Oliana,A,42.07683,1.31489,Point,c(1.31489, 42.07683),Partida Esclotes,490,251497,Oliana,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,2000-06-22T00:00:00,353,5,NA
WV,Guardiola de Berguedà,A,42.23414,1.87485,Point,c(1.87485, 42.23414),Monestir de Sant Llorenç prop Bagà,788,80996,Guardiola de Berguedà,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,2005-11-28T00:00:00,181,8,NA
