"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2025-01-09,NA,"X8","HRM",50
2025-01-09,"07:34:00","X8","HRX",61
2025-01-09,"14:37:00","X8","HRN",40
2025-01-09,NA,"X8","PM",1006
2025-01-09,"23:44:00","X8","PX",1010.5
2025-01-09,"03:07:00","X8","PN",1003.4
2025-01-09,NA,"X8","PPT",0
2025-01-09,NA,"X8","RS24h",9.2
2025-01-09,NA,"X8","VVM10",3.4
2025-01-09,NA,"X8","DVM10",305
2025-01-09,"12:13:00","X8","VVX10",16.4
2025-01-09,"12:13:00","X8","DVVX10",314
2025-01-10,NA,"D5","TM",13.1
2025-01-10,"13:30:00","D5","TX",18.3
2025-01-10,"05:34:00","D5","TN",9.3
2025-01-10,NA,"D5","HRM",67
2025-01-10,"09:37:00","D5","HRX",89
2025-01-10,"13:33:00","D5","HRN",52
2025-01-10,NA,"D5","PM",971.9
2025-01-10,"10:10:00","D5","PX",973.8
2025-01-10,"23:59:00","D5","PN",969.9
2025-01-10,NA,"D5","PPT",0
2025-01-10,NA,"D5","RS24h",8.7
2025-01-10,NA,"D5","VVM10",2.8
2025-01-10,NA,"D5","DVM10",243
2025-01-10,"14:33:00","D5","VVX10",9.7
2025-01-10,"14:33:00","D5","DVVX10",260
2025-01-10,NA,"X4","TM",15.6
2025-01-10,"14:19:00","X4","TX",20.1
2025-01-10,"05:56:00","X4","TN",11.9
2025-01-10,NA,"X4","HRM",58
2025-01-10,"06:22:00","X4","HRX",69
2025-01-10,"14:53:00","X4","HRN",45
2025-01-10,NA,"X4","PM",1016.5
2025-01-10,"10:00:00","X4","PX",1018.6
2025-01-10,"23:59:00","X4","PN",1014.6
2025-01-10,NA,"X4","PPT",0
2025-01-10,NA,"X4","RS24h",9
2025-01-10,NA,"X4","VVM10",1.5
2025-01-10,NA,"X4","DVM10",261
2025-01-10,"15:41:00","X4","VVX10",8.3
2025-01-10,"15:41:00","X4","DVVX10",267
2025-01-10,NA,"X8","TM",14.5
2025-01-10,"14:41:00","X8","TX",19.3
2025-01-10,"05:03:00","X8","TN",8.9
2025-01-10,NA,"X8","HRM",63
2025-01-10,"04:17:00","X8","HRX",80
2025-01-10,"14:51:00","X8","HRN",48
2025-01-10,NA,"X8","PM",1010.8
2025-01-10,"10:10:00","X8","PX",1012.9
2025-01-10,"23:59:00","X8","PN",1008.9
2025-01-10,NA,"X8","PPT",0
2025-01-10,NA,"X8","RS24h",8.6
2025-01-10,NA,"X8","VVM10",1.5
2025-01-10,NA,"X8","DVM10",277
2025-01-10,"14:50:00","X8","VVX10",10.1
2025-01-10,"14:50:00","X8","DVVX10",300
2025-01-11,NA,"D5","TM",13.2
2025-01-11,"13:35:00","D5","TX",19.4
2025-01-11,"23:57:00","D5","TN",11
2025-01-11,NA,"D5","HRM",62
2025-01-11,"17:01:00","D5","HRX",83
2025-01-11,"18:45:00","D5","HRN",26
2025-01-11,NA,"D5","PM",969.6
2025-01-11,"23:17:00","D5","PX",972.3
2025-01-11,"05:55:00","D5","PN",966.9
2025-01-11,NA,"D5","PPT",0.1
2025-01-11,NA,"D5","RS24h",6.9
2025-01-11,NA,"D5","VVM10",3.9
2025-01-11,NA,"D5","DVM10",315
2025-01-11,"09:47:00","D5","VVX10",11.7
2025-01-11,"09:47:00","D5","DVVX10",21
2025-01-11,NA,"X4","TM",16.1
2025-01-11,"13:25:00","X4","TX",19.6
2025-01-11,"23:48:00","X4","TN",13.7
2025-01-11,NA,"X4","HRM",55
2025-01-11,"20:11:00","X4","HRX",70
2025-01-11,"19:30:00","X4","HRN",24
2025-01-11,NA,"X4","PM",1013.9
2025-01-11,"23:30:00","X4","PX",1016.7
2025-01-11,"05:01:00","X4","PN",1011.6
2025-01-11,NA,"X4","PPT",0.1
2025-01-11,NA,"X4","RS24h",7
2025-01-11,NA,"X4","VVM10",2.2
2025-01-11,NA,"X4","DVM10",299
2025-01-11,"18:04:00","X4","VVX10",8.9
2025-01-11,"18:04:00","X4","DVVX10",319
2025-01-11,NA,"X8","TM",15.4
2025-01-11,"13:00:00","X8","TX",19.5
2025-01-11,"02:13:00","X8","TN",12.4
2025-01-11,NA,"X8","HRM",56
2025-01-11,"05:11:00","X8","HRX",79
2025-01-11,"19:03:00","X8","HRN",22
2025-01-11,NA,"X8","PM",1008.3
2025-01-11,"23:53:00","X8","PX",1010.9
2025-01-11,"06:30:00","X8","PN",1006
2025-01-11,NA,"X8","PPT",0.4
2025-01-11,NA,"X8","RS24h",6.8
2025-01-11,NA,"X8","VVM10",2.4
2025-01-11,NA,"X8","DVM10",300
2025-01-11,"06:18:00","X8","VVX10",9.1
2025-01-11,"06:18:00","X8","DVVX10",300
2025-01-12,NA,"D5","TM",8.9
2025-01-12,"12:42:00","D5","TX",14.4
2025-01-12,"20:26:00","D5","TN",5.5
2025-01-12,NA,"D5","HRM",31
2025-01-12,"23:57:00","D5","HRX",57
2025-01-12,"09:19:00","D5","HRN",12
2025-01-12,NA,"D5","PM",974.6
2025-01-12,"23:00:00","D5","PX",978
2025-01-12,"01:21:00","D5","PN",971.9
2025-01-12,NA,"D5","PPT",0
2025-01-12,NA,"D5","RS24h",10.1
2025-01-12,NA,"D5","VVM10",4.7
2025-01-12,NA,"D5","DVM10",354
2025-01-12,"09:48:00","D5","VVX10",11.6
2025-01-12,"09:48:00","D5","DVVX10",333
2025-01-12,NA,"X4","TM",11.9
2025-01-12,"10:26:00","X4","TX",16
2025-01-12,"23:59:00","X4","TN",8.3
2025-01-12,NA,"X4","HRM",30
2025-01-12,"00:06:00","X4","HRX",48
2025-01-12,"10:27:00","X4","HRN",9
2025-01-12,NA,"X4","PM",1019.8
2025-01-12,"23:00:00","X4","PX",1023.8
2025-01-12,"00:00:00","X4","PN",1016.5
2025-01-12,NA,"X4","PPT",0
2025-01-12,NA,"X4","RS24h",10.4
2025-01-12,NA,"X4","VVM10",1.8
2025-01-12,NA,"X4","DVM10",49
2025-01-12,"15:30:00","X4","VVX10",9.9
2025-01-12,"15:30:00","X4","DVVX10",78
2025-01-12,NA,"X8","TM",10.6
2025-01-12,"11:28:00","X8","TX",16.1
2025-01-12,"23:46:00","X8","TN",5.4
2025-01-12,NA,"X8","HRM",32
2025-01-12,"23:34:00","X8","HRX",59
2025-01-12,"10:31:00","X8","HRN",10
2025-01-12,NA,"X8","PM",1014.1
2025-01-12,"23:00:00","X8","PX",1018
2025-01-12,"00:00:00","X8","PN",1010.9
2025-01-12,NA,"X8","PPT",0
2025-01-12,NA,"X8","RS24h",10.1
2025-01-12,NA,"X8","VVM10",2.1
2025-01-12,NA,"X8","DVM10",346
2025-01-12,"09:38:00","X8","VVX10",9.7
2025-01-12,"09:38:00","X8","DVVX10",312
2025-01-13,NA,"D5","TM",5.7
2025-01-13,"13:15:00","D5","TX",9.7
2025-01-13,"07:43:00","D5","TN",2.3
2025-01-13,NA,"D5","HRM",49
2025-01-13,"17:34:00","D5","HRX",66
2025-01-13,"09:27:00","D5","HRN",38
2025-01-13,NA,"D5","PM",978.4
2025-01-13,"23:42:00","D5","PX",980.5
2025-01-13,"05:18:00","D5","PN",976.7
2025-01-13,NA,"D5","PPT",0
2025-01-13,NA,"D5","RS24h",9.8
2025-01-13,NA,"D5","VVM10",3.5
2025-01-13,NA,"D5","DVM10",291
2025-01-13,"07:29:00","D5","VVX10",10.1
2025-01-13,"07:29:00","D5","DVVX10",310
2025-01-13,NA,"X4","TM",8.9
2025-01-13,"15:12:00","X4","TX",11.5
2025-01-13,"07:00:00","X4","TN",6.3
2025-01-13,NA,"X4","HRM",40
2025-01-13,"23:25:00","X4","HRX",54
2025-01-13,"10:49:00","X4","HRN",30
2025-01-13,NA,"X4","PM",1024.2
2025-01-13,"22:45:00","X4","PX",1026.6
2025-01-13,"05:08:00","X4","PN",1022.7
2025-01-13,NA,"X4","PPT",0
2025-01-13,NA,"X4","RS24h",10.1
2025-01-13,NA,"X4","VVM10",1.2
2025-01-13,NA,"X4","DVM10",56
2025-01-13,"11:49:00","X4","VVX10",5
2025-01-13,"11:49:00","X4","DVVX10",148
2025-01-13,NA,"X8","TM",7.4
2025-01-13,"13:55:00","X8","TX",12.4
2025-01-13,"07:25:00","X8","TN",3.5
2025-01-13,NA,"X8","HRM",48
2025-01-13,"01:02:00","X8","HRX",63
2025-01-13,"09:46:00","X8","HRN",31
2025-01-13,NA,"X8","PM",1018.4
2025-01-13,"23:48:00","X8","PX",1020.7
2025-01-13,"05:36:00","X8","PN",1016.9
2025-01-13,NA,"X8","PPT",0
2025-01-13,NA,"X8","RS24h",9.7
2025-01-13,NA,"X8","VVM10",1.1
2025-01-13,NA,"X8","DVM10",288
2025-01-13,"10:50:00","X8","VVX10",5.1
2025-01-13,"10:50:00","X8","DVVX10",314
2025-01-14,NA,"D5","TM",5.7
2025-01-14,"13:43:00","D5","TX",12.1
2025-01-14,"08:19:00","D5","TN",1.8
2025-01-14,NA,"D5","HRM",51
2025-01-14,"20:31:00","D5","HRX",82
2025-01-14,"13:40:00","D5","HRN",29
2025-01-14,NA,"D5","PM",980
2025-01-14,"10:03:00","D5","PX",981.7
2025-01-14,"15:22:00","D5","PN",978.7
2025-01-14,NA,"D5","PPT",0
2025-01-14,NA,"D5","RS24h",10.1
2025-01-14,NA,"D5","VVM10",3
2025-01-14,NA,"D5","DVM10",273
2025-01-14,"08:17:00","D5","VVX10",11.8
2025-01-14,"08:17:00","D5","DVVX10",321
2025-01-14,NA,"X4","TM",8.7
2025-01-14,"13:31:00","X4","TX",12.1
